2026-07-10 11:50:16.148 | INFO     | utils.logger:info:154 | 开始执行清洗循环...
2026-07-10 11:50:16.148 | INFO     | utils.logger:info:154 | 步骤1: 采集图像
2026-07-10 11:50:16.148 | INFO     | utils.logger:info:154 | 步骤2: AI污染检测
2026-07-10 11:50:16.148 | INFO     | utils.logger:info:154 | 未检测到污染物，清洗循环结束
2026-07-10 15:14:29.567 | INFO     | utils.logger:init:128 | 日志系统初始化完成
2026-07-10 15:14:29.567 | INFO     | utils.logger:init:129 | 日志级别: INFO
2026-07-10 15:14:29.567 | INFO     | utils.logger:init:130 | 日志目录: D:\大创\opencv\logs
2026-07-10 15:14:29.567 | INFO     | utils.logger:info:154 | 主控制器初始化完成
2026-07-10 15:14:29.567 | INFO     | utils.logger:info:154 | 启动MicroCleaningVision系统...
2026-07-10 15:14:29.567 | INFO     | utils.logger:info:154 | 开始初始化各个模块...
2026-07-10 15:14:29.567 | INFO     | utils.logger:info:154 | 相机管理器初始化完成
2026-07-10 15:14:29.567 | INFO     | utils.logger:info:154 | 相机模块初始化成功
2026-07-10 15:14:29.567 | INFO     | utils.logger:info:154 | 检测器初始化完成
2026-07-10 15:14:29.572 | INFO     | utils.logger:info:154 | 检测模块初始化成功
2026-07-10 15:14:29.573 | INFO     | utils.logger:info:154 | 规划器初始化完成
2026-07-10 15:14:29.573 | INFO     | utils.logger:info:154 | 规划模块初始化成功
2026-07-10 15:14:29.574 | INFO     | utils.logger:info:154 | STM32通信模块初始化完成
2026-07-10 15:14:29.574 | INFO     | utils.logger:info:154 | 通信模块初始化成功
2026-07-10 15:14:29.574 | INFO     | utils.logger:info:154 | 所有模块初始化完成
2026-07-10 15:14:29.574 | INFO     | utils.logger:info:154 | 开始执行清洗循环...
2026-07-10 15:14:29.574 | INFO     | utils.logger:info:154 | 步骤1: 采集图像
2026-07-10 15:14:29.574 | INFO     | utils.logger:info:154 | 步骤2: AI污染检测
2026-07-10 15:14:29.574 | INFO     | utils.logger:info:154 | 未检测到污染物，清洗循环结束
